ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Polincove,62370,867,17.7,Simplicicar,saint-omer,1
Marches,26300,866,8.2,TransakAuto,Agence ROMANS SUR ISERE,3
Quérénaing,59269,865,7.2,AgenceAuto,valenciennes,2
Saint-Martin-le-Vieux,87700,865,14.8,AgenceAuto,limoges,2
Puyvert,84160,865,15.3,TransakAuto,Agence PERTUIS,1
Condé-Folie,80890,865,16.1,TransakAuto,Agence AMIENS,2
Saint-Laurent-les-Églises,87240,865,18.5,TransakAuto,Agence LIMOGES,1
Dannemois,91490,865,18.9,TransakAuto,Agence LIEUSAINT,1
Dommartin,25300,864,1.7,Simplicicar,pontarlier,2
Aussevielle,64230,864,7.0,TransakAuto,Agence PAU,2
Dénat,81120,864,7.9,TransakAuto,Agence ALBI,1
Les Ormes-sur-Voulzie,77134,864,12.3,TransakAuto,Agence PROVINS,1
Ferrette,68480,864,18.4,TransakAuto,Agence SAINT-LOUIS,2
Saramon,32450,864,19.7,TransakAuto,Agence AUCH,1
Vitrac,24200,863,2.4,TransakAuto,Agence SARLAT,1
Saint-Jean-de-Thurigneux,01390,863,6.3,TransakAuto,Agence LYON EST,4
Pelleautier,05000,863,11.1,TransakAuto,Agence GAP,1
Souvigné,79800,863,16.8,TransakAuto,"Agence NAMUR, BELGIQUE",2
Pact,38270,863,18.8,TransakAuto,Agence VIENNE,1
Marcenais,33620,863,19.5,TransakAuto,Agence LIBOURNE,1
Duran,32810,862,3.3,TransakAuto,Agence AUCH,1
Saint-Castin,64160,862,5.8,Simplicicar,pau,2
Lamarque-Pontacq,65380,862,13.7,TransakAuto,Agence TARBES,1
Hattstatt,68420,862,14.7,Simplicicar,colmar,1
Berchères-sur-Vesgre,28260,862,17.6,TransakAuto,Agence DREUX,2
Cuy,89140,861,6.0,TransakAuto,Agence SENS,1
Ferfay,62260,861,11.2,TransakAuto,Agence BETHUNE,1
Burgnac,87800,861,13.8,AgenceAuto,limoges,2
Hermival-les-Vaux,14100,861,14.8,TransakAuto,Agence DEAUVILLE,1
Meys,69610,861,16.5,Simplicicar,moto-veauche,2
Muids,27430,861,19.5,Simplicicar,vernon,1
L'Abergement-Clémenciat,01400,860,15.7,TransakAuto,Agence MACON,1
Le Gué-de-Longroi,28700,860,16.6,TransakAuto,Agence RAMBOUILLET,2
Le Vanneau-Irleau,79270,860,17.8,TransakAuto,Agence NIORT,1
Margerie-Chantagret,42560,860,18.2,Simplicicar,moto-veauche,2
Gonneville-sur-Honfleur,14600,859,11.4,TransakAuto,Agence DEAUVILLE,2
Saint-Julien-sur-Veyle,01540,859,13.9,TransakAuto,Agence MACON,3
Montrelais,44370,859,16.4,TransakAuto,Agence ANCENIS,1
Chavignon,02000,859,16.7,Simplicicar,soissons,1
Lanchères,80230,859,17.1,TransakAuto,"Agence MONS, BELGIQUE",1
Villiers-Adam,95840,858,4.5,AgenceAuto,la-croix-verte,6
Saint-Jean-de-Cornies,34160,858,8.6,AgenceAuto,montpellier-est,2
Quibou,50750,858,9.3,TransakAuto,Agence SAINT-LO,1
Ordan-Larroque,32350,858,9.7,TransakAuto,Agence AUCH,1
Alteckendorf,67270,857,11.5,TransakAuto,Agence HAGUENAU,2
Artzenheim,68320,857,12.1,Simplicicar,colmar,2
La Gresle,42460,857,17.6,TransakAuto,Agence ROANNE,1
Niederentzen,68127,857,18.0,AgenceAuto,mulhouse,2
Olby,63210,857,18.7,TransakAuto,Agence CLERMONT FERRAND SUD,1
Sideville,50690,856,7.5,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
Aubazines,19190,856,8.9,Simplicicar,brive,3
Adé,65100,856,10.1,TransakAuto,Agence TARBES,1
Docelles,88460,856,13.4,AgenceAuto,epinal,2
Doizieux,42740,856,15.0,TransakAuto,Agence SAINT ETIENNE,2
Gunsbach,68140,856,17.6,Simplicicar,colmar,1
Jolimetz,59530,856,19.1,AgenceAuto,valenciennes,1
Bascons,40090,855,8.0,TransakAuto,Agence MONT DE MARSAN,1
Roscanvel,29570,855,12.7,AgenceAuto,brest,3
La Rue-Saint-Pierre,60510,855,13.1,Simplicicar,beauvais,2
Bruc-sur-Aff,35550,855,14.9,TransakAuto,Agence REDON,1
Sainte-Hélène-du-Lac,73800,855,18.5,Simplicicar,aix-les-bains,2
Serbannes,03700,854,7.4,Simplicicar,vichy,1
Aincourt,95510,854,10.8,TransakAuto,Agence MANTES-LA-JOLIE,5
Voray-sur-l'Ognon,70190,854,12.2,TransakAuto,Agence BESANCON,3
Mittelwihr,68630,853,5.8,Simplicicar,colmar,2
Villiers-en-Désœuvre,27640,853,14.9,TransakAuto,Agence MANTES-LA-JOLIE,3
Sougy,45410,853,17.8,TransakAuto,Agence ORLEANS,1
Sauzet,30190,853,17.9,TransakAuto,Agence ALES,2
Vert,78930,852,6.4,TransakAuto,Agence MANTES-LA-JOLIE,4
Avilly-Saint-Léonard,60300,852,7.8,TransakAuto,Agence SAINT MAXIMIN,4
Massingy,74150,852,15.6,AgenceAuto,annecy,3
Fourquevaux,31450,851,10.9,AgenceAuto,toulouse-sud-est-labege,5
Épannes,79270,851,17.2,TransakAuto,Agence NIORT,1
Jaulzy,60350,851,19.8,Simplicicar,compiegne,1
Villamblard,24140,851,19.9,TransakAuto,Agence BERGERAC,1
Soisy-Bouy,77650,850,5.9,TransakAuto,Agence PROVINS,1
Clairefontaine-en-Yvelines,78120,850,6.6,TransakAuto,Agence RAMBOUILLET,1
Busset,03270,850,11.4,Simplicicar,vichy,1
Moulins-sur-Yèvre,18390,850,12.3,TransakAuto,Agence BOURGES,1
Pouligney-Lusans,25640,850,17.1,TransakAuto,Agence BESANCON,1
Saint-Sauveur,24520,849,3.9,TransakAuto,Agence BERGERAC,1
Villerbon,41000,849,6.6,TransakAuto,Agence BLOIS,1
Vétheuil,95510,849,7.3,TransakAuto,Agence MANTES-LA-JOLIE,4
Fontaine-sous-Jouy,27120,849,8.0,Simplicicar,evreux,3
Coquainvilliers,14130,849,9.2,TransakAuto,Agence DEAUVILLE,1
Sallenôves,74270,849,9.8,TransakAuto,Agence ANNECY,3
Saint-Baudille-de-la-Tour,38118,849,12.3,TransakAuto,Agence ANTHON,3
Lantignié,69430,849,16.8,TransakAuto,Agence MACON,2
Saint-Sauveur,29400,849,17.0,TransakAuto,Agence MORLAIX,1
Viglain,45600,849,17.4,TransakAuto,Agence VIERZON,1
Pécy,77970,849,19.5,TransakAuto,Agence PROVINS,1
Neuville-Saint-Amand,02100,848,4.1,TransakAuto,Agence SAINT-QUENTIN,2
Saint-Loup-de-Naud,77650,848,6.5,TransakAuto,Agence PROVINS,1
Siros,64230,848,6.7,TransakAuto,Agence PAU,2
Noyelles-sous-Bellonne,62490,848,7.0,TransakAuto,Agence DOUAI,4
Steinbrunn-le-Bas,68440,848,8.5,AgenceAuto,mulhouse-sud,4
Villons-les-Buissons,14610,848,10.5,TransakAuto,Agence CAEN,1
Pimprez,60170,848,17.2,TransakAuto,Agence COMPIEGNE,2
Érôme,26600,848,18.2,TransakAuto,Agence DAVEZIEUX,1
Saint-Christophe-sur-Guiers,38380,847,16.0,AgenceAuto,grenoble,2
Saint-Remèze,07700,847,19.8,TransakAuto,Agence BOLLENE,1
Tourgéville,14800,846,9.9,TransakAuto,Agence DEAUVILLE,1
Pierreclos,71960,846,12.7,TransakAuto,Agence MACON,1
Saint-Hilaire-la-Forêt,85440,846,18.0,TransakAuto,Agence LES SABLES D&rsquo;OLONNE,1
Caligny,61100,845,4.0,TransakAuto,Agence FLERS,1
Varzay,17460,845,7.6,TransakAuto,Agence SAINTES,1
Trespoux-Rassiels,46090,845,7.9,TransakAuto,Agence CAHORS,1
Les Déserts,73230,845,9.4,TransakAuto,Agence CHAMBERY,2
Beaucamps-Ligny,59134,845,10.0,AgenceAuto,lille-seclin,5
Camlez,22450,845,10.7,AgenceAuto,lannion,2
Morthomiers,18570,845,11.9,TransakAuto,Agence BOURGES,1
Saint-Martin-du-Bois,33910,845,12.9,TransakAuto,Agence LIBOURNE,1
Négreville,50260,845,15.4,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
Cravans,17260,845,16.7,TransakAuto,Agence SAINTES,1
Bambecque,59470,845,16.9,TransakAuto,Agence DUNKERQUE,3
Cerisé,61000,844,4.4,TransakAuto,Agence ALENCON,1
Crayssac,46150,844,9.2,TransakAuto,Agence CAHORS,1
Lépanges-sur-Vologne,88600,844,16.3,AgenceAuto,epinal,2
Boulon,14220,844,16.9,TransakAuto,Agence CAEN,1
Étouy,60600,844,18.6,Simplicicar,beauvais,2
Saint-Aubin-le-Cauf,76510,843,8.2,TransakAuto,Agence DIEPPE,1
Marsannay-le-Bois,21380,843,10.1,AgenceAuto,dijon,3
Saint-Didier-d'Aussiat,01340,843,15.8,TransakAuto,Agence BOURG-EN-BRESSE,2
Allery,80270,843,19.5,TransakAuto,Agence ABBEVILLE,1
Marcé,49140,843,19.6,AgenceAuto,angers,1
Touffreville-la-Corbeline,76190,842,4.4,TransakAuto,Agence YVETOT,2
Lignan-de-Bordeaux,33360,842,10.4,TransakAuto,Agence CADAUJAC,5
La Bourgonce,88470,842,13.3,AgenceAuto,saint-die-des-vosges,1
Sanilhac-Sagriès,30700,842,17.3,Simplicicar,nimes,3
Saint-Laurent,74800,841,4.5,Simplicicar,genevois,4
Étoutteville,76190,841,5.5,TransakAuto,Agence YVETOT,2
Venon,38610,841,9.0,TransakAuto,Agence GRENOBLE OUEST,3
Maron,54230,841,9.6,Simplicicar,nancy,3
Saint-André-de-Bâgé,01380,841,10.9,TransakAuto,Agence MACON,1
Mogneneins,01140,841,12.1,TransakAuto,Agence MACON,2
Surville,27400,841,12.9,TransakAuto,Agence ELBEUF,1
Haut-Bocage,03190,841,14.3,TransakAuto,Agence MONTLUCON,1
Le Pré-d'Auge,14340,841,15.3,TransakAuto,Agence DEAUVILLE,1
Arbin,73800,841,17.3,Simplicicar,aix-les-bains,2
Duerne,69850,841,18.9,Simplicicar,lyon-ouest,2
Le Vieil-Évreux,27930,840,3.6,Simplicicar,evreux,2
Mareuil-Caubert,80132,840,6.4,TransakAuto,Agence ABBEVILLE,1
La Genevraye,77690,840,9.0,TransakAuto,Agence FONTAINEBLEAU,1
Le Chay,17600,840,9.2,Simplicicar,royan,1
La Celle-les-Bordes,78720,840,9.7,TransakAuto,Agence RAMBOUILLET,1
Lizio,56460,840,11.0,TransakAuto,Agence PLOERMEL,1
Haux,33550,840,13.3,TransakAuto,Agence CADAUJAC,1
Vallans,79270,840,15.1,TransakAuto,Agence NIORT,1
Loguivy-Plougras,22780,840,18.7,TransakAuto,Agence BEGARD,1
Bois-Bernard,62320,839,8.2,TransakAuto,Agence LENS,4
Nérigean,33750,839,8.2,TransakAuto,Agence LIBOURNE,3
Condeissiat,01400,839,9.5,AgenceAuto,bourg-en-bresse,2
Vron,80120,839,13.0,TransakAuto,Agence LE TOUQUET,1
Corcelles-lès-Cîteaux,21910,839,16.3,TransakAuto,Agence DIJON,2
Mont-d'Origny,02390,839,16.7,TransakAuto,Agence SAINT-QUENTIN,2
La Foye-Monjault,79360,839,17.7,TransakAuto,Agence NIORT,1
Saint-Pôtan,22550,839,17.9,TransakAuto,Agence LAMBALLE,1
Noyelles-lès-Seclin,59139,838,2.1,AgenceAuto,lille-seclin,5
Hatrize,54800,838,7.3,TransakAuto,Agence SAINT-DIZIER,1
Dauphin,04300,838,9.1,TransakAuto,Agence MANOSQUE,1
Glisolles,27190,838,11.3,TransakAuto,Agence EVREUX,2
Millam,59143,838,13.2,Simplicicar,saint-omer,3
Schirrhoffen,67240,838,13.6,TransakAuto,Agence HAGUENAU,1
Torchefelon,38690,838,13.7,TransakAuto,Agence BOURGOIN-JAILLEU,1
Pey,40300,838,16.2,TransakAuto,Agence CAPBRETON,3
Sainte-Croix-du-Mont,33410,838,19.8,TransakAuto,Agence LANGON,1
Broué,28410,837,12.6,TransakAuto,Agence DREUX,1
Holque,59143,837,13.6,Simplicicar,saint-omer,2
La Chapelle-Saint-Laud,49140,837,17.9,Simplicicar,la-fleche,1
Luze,70400,836,4.7,AgenceAuto,hericourt,4
Escamps,89240,836,9.6,TransakAuto,Agence AUXERRE,1
Elnes,62380,836,11.6,Simplicicar,saint-omer,1
Langolen,29510,836,15.0,TransakAuto,Agence QUIMPER,2
Durmenach,68480,836,15.6,AgenceAuto,saint-louis,2
Rampillon,77370,836,16.6,TransakAuto,Agence PROVINS,1
Maisons-du-Bois-Lièvremont,25650,835,7.4,AgenceAuto,pontarlier,2
Dizimieu,38460,835,9.2,Simplicicar,nord-isere,3
Samazan,47250,835,15.7,TransakAuto,Agence LANGON,1
Naisey-les-Granges,25360,835,17.3,TransakAuto,Agence BESANCON,1
Villemade,82130,834,10.1,TransakAuto,Agence MONTAUBAN,2
Mortefontaine,60128,834,10.6,TransakAuto,Agence DAMMARTIN EN GOELE,4
Saint-Jean-de-Chevelu,73170,834,11.4,TransakAuto,Agence CHAMBERY,2
Puisseguin,33570,834,12.9,TransakAuto,Agence LIBOURNE,1
Grézieu-le-Marché,69610,834,15.7,Simplicicar,moto-veauche,2
Misy-sur-Yonne,77130,834,18.7,TransakAuto,Agence FONTAINEBLEAU,1
Leutenheim,67480,834,19.0,TransakAuto,Agence HAGUENAU,1
Cheminot,57420,833,2.3,TransakAuto,Agence METZ,2
Bougue,40090,833,6.5,TransakAuto,Agence MONT DE MARSAN,1
Le Tourne,33550,833,11.1,TransakAuto,Agence CADAUJAC,1
Limony,07340,833,11.4,TransakAuto,Agence DAVEZIEUX,1
Arsy,60190,832,5.9,TransakAuto,Agence COMPIEGNE,3
Les Trois-Pierres,76430,832,15.3,TransakAuto,Agence LE HAVRE,1
Saint-Germain-de-la-Coudre,61130,831,17.1,AgenceAuto,nogent-le-rotrou,1
Grèges,76370,830,4.3,TransakAuto,Agence DIEPPE,1
Montagny-les-Lanches,74600,830,5.0,AgenceAuto,annecy,3
Douelle,46140,830,5.7,TransakAuto,Agence CAHORS,1
Ners,30360,830,9.7,TransakAuto,Agence ALES,1
Verchaix,74440,830,11.5,TransakAuto,Agence SALLANCHES,1
Saillenard,71580,830,12.9,AgenceAuto,lons-le-saunier,3
Machemont,60150,830,13.6,TransakAuto,Agence COMPIEGNE,2
Saint-Hilaire-Cottes,62120,830,15.3,TransakAuto,Agence BETHUNE,1
Bulles,60130,830,16.5,Simplicicar,beauvais,2
Lupstein,67490,830,20.0,TransakAuto,Agence STRASBOURG NORD,1
Farges-lès-Chalon,71150,829,4.1,TransakAuto,Agence CHALON-SUR-SAONE,2
Monbazillac,24240,829,8.4,TransakAuto,Agence BERGERAC,1
Montolieu,11170,829,13.7,TransakAuto,Agence CARCASSONNE,2
Villers-sur-le-Roule,27940,829,15.2,Simplicicar,vernon,1
Locronan,29180,829,15.7,TransakAuto,Agence QUIMPER,2
Clessé,71260,829,18.7,TransakAuto,Agence MACON,1
Hesdigneul-lès-Béthune,62196,828,1.3,TransakAuto,Agence BETHUNE,2
Blangy-le-Château,14130,828,6.8,TransakAuto,Agence DEAUVILLE,1
Ville-sur-Jarnioux,69640,828,9.6,TransakAuto,Agence VILLEFRANCHE SUR SAONE,3
Misson,40290,828,13.8,TransakAuto,Agence DAX,2
Nibas,80390,828,14.9,TransakAuto,"Agence MONS, BELGIQUE",2
Ballon,17290,828,15.4,TransakAuto,Agence LA ROCHELLE / AYTRE,1
Plats,07300,828,15.6,Simplicicar,valence,1
Noailhac,81490,828,18.1,TransakAuto,Agence CASTRES,1
Abergement-la-Ronce,39500,827,9.3,AgenceAuto,dole,1
Hondouville,27400,827,14.2,Simplicicar,evreux,3
Valderiès,81350,827,15.0,TransakAuto,Agence ALBI,1
Poueyferré,65100,827,15.1,TransakAuto,Agence TARBES,1
Lachapelle-Saint-Pierre,60730,827,16.4,Simplicicar,st-maximin,3
Saint-Symphorien-de-Marmagne,71710,827,16.4,AgenceAuto,montceau-les-mines,1
La Buissière,38530,827,16.6,AgenceAuto,grenoble,2
Coaraze,06390,827,19.5,Simplicicar,nice,1
Bonnay,25870,826,9.2,TransakAuto,Agence BESANCON,3
Griselles,45210,826,9.5,TransakAuto,Agence MONTARGIS,1
Marcillac-Saint-Quentin,24200,826,10.0,TransakAuto,Agence SARLAT,1
Saint-Nazaire-en-Royans,26190,826,11.5,TransakAuto,Agence ROMANS SUR ISERE,1
Saales,67420,826,13.4,AgenceAuto,saint-die-des-vosges,1
Notre-Dame-de-Bliquetuit,76940,826,13.9,TransakAuto,Agence YVETOT,1
Dohem,62380,826,13.9,Simplicicar,saint-omer,1
Sougé-le-Ganelon,72130,826,15.6,TransakAuto,Agence ALENCON,1
Pont-Noyelles,80115,826,15.8,TransakAuto,Agence AMIENS,2
Pointis-de-Rivière,31210,825,4.3,Simplicicar,https://www.simplicicar.com/content/170-oncession-st-gaudens,1
Bernoy-le-Château,02200,825,6.6,Simplicicar,soissons,1
Noordpeene,59670,825,9.4,Simplicicar,saint-omer,1
Bonneville-la-Louvet,14130,825,9.7,TransakAuto,Agence DEAUVILLE,1
Curtafond,01310,825,10.4,TransakAuto,Agence BOURG-EN-BRESSE,2
Saint-Étienne-en-Bresse,71370,825,14.3,AgenceAuto,louhans,2
Montaulin,10270,825,14.5,AgenceAuto,troyes,3
Poligny,77167,825,15.9,TransakAuto,Agence FONTAINEBLEAU,1
Gouvix,14680,825,17.6,TransakAuto,Agence CAEN,1
Sainte-Marie-Cappel,59670,825,18.8,Simplicicar,saint-omer,1
Mottier,38260,825,19.8,TransakAuto,Agence BOURGOIN-JAILLEU,1
Dorans,90400,824,3.2,AgenceAuto,belfort,4
La Bouillie,22240,824,8.6,TransakAuto,Agence LAMBALLE,1
Noailly,42640,824,9.1,TransakAuto,Agence ROANNE,1
Coin-lès-Cuvry,57420,824,9.6,TransakAuto,Agence METZ,2
Zimmerbach,68230,824,12.8,Simplicicar,colmar,1
Saint-Vincent-de-Barrès,07210,824,18.9,TransakAuto,Agence MONTELIMAR,1
Vantoux,57070,823,4.6,AgenceAuto,metz,2
Étouvans,25260,823,5.1,TransakAuto,Agence MONTBELIARD,3
Plassay,17250,823,10.7,TransakAuto,Agence SAINTES,1
La Quinte,72550,823,12.8,TransakAuto,Agence LE MANS,1
Ondes,31330,822,6.0,TransakAuto,Agence FRONTON,2
Lehaucourt,02420,822,7.9,TransakAuto,Agence SAINT-QUENTIN,2
Petit-Landau,68490,822,10.2,AgenceAuto,mulhouse,4
Saint-Joseph,50700,822,12.8,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
Goxwiller,67210,822,18.3,AgenceAuto,selestat,2
Saint-Nectaire,63710,822,20.0,TransakAuto,Agence CLERMONT FERRAND SUD,1
Saint-Sulpice,73160,821,4.9,Simplicicar,aix-les-bains,2
Acy-en-Multien,60620,821,15.2,TransakAuto,Agence DAMMARTIN EN GOELE,2
Heudebouville,27400,821,18.8,Simplicicar,evreux,3
Brullioles,69690,821,18.9,TransakAuto,Agence CALUIRE-ET-CUIRE,1
Chaintreaux,77460,821,19.9,TransakAuto,Agence FONTAINEBLEAU,1
La Feuillade,24120,820,15.2,TransakAuto,Agence BRIVE-LA-GAILLARDE,2
Arrest,80820,820,15.3,TransakAuto,Agence ABBEVILLE,2
Santenay,21590,820,16.2,TransakAuto,Agence CHALON-SUR-SAONE,2
Arros-de-Nay,64800,820,17.7,TransakAuto,Agence PAU,1
Faverolles,28210,820,18.3,TransakAuto,Agence RAMBOUILLET,2
Saint-Sulpice-des-Landes,35390,820,18.8,TransakAuto,Agence CHATEAUBRIANT,1
Nivigne et Suran,01250,820,18.9,TransakAuto,Agence BOURG-EN-BRESSE,1
Saint-Brice,77160,819,3.2,TransakAuto,Agence PROVINS,1
Leuc,11250,819,7.9,Simplicicar,carcassonne,2
Carency,62144,819,10.0,TransakAuto,Agence LENS,4
Anisy,14610,819,10.8,TransakAuto,Agence CAEN,1
Serres-sur-Arget,09000,819,15.0,Simplicicar,pamiers,1
Dingy-en-Vuache,74520,819,17.6,TransakAuto,Agence GEX,3
Ruffieux,73310,819,19.7,AgenceAuto,annecy,2
Orival,76500,818,2.8,TransakAuto,Agence ELBEUF,2
Tincques,62127,818,15.8,TransakAuto,Agence BETHUNE,1
Quincy,18120,818,16.0,TransakAuto,Agence BOURGES,1
Ballersdorf,68210,818,16.3,AgenceAuto,mulhouse-sud,1
Criquetot-sur-Ouville,76760,817,2.4,AgenceAuto,yerville,2
Gravelotte,57130,817,9.9,TransakAuto,Agence SAINT-DIZIER,2
Billy,03260,817,10.1,Simplicicar,vichy,1
Thivencelle,59163,817,12.9,TransakAuto,Agence VALENCIENNES,2
Les Gras,25790,817,15.9,AgenceAuto,pontarlier,2
Parly,89240,817,19.4,TransakAuto,Agence AUXERRE,1
Pouilley-Français,25410,816,1.4,Simplicicar,besancon,4
Noyelles-sur-Escaut,59159,816,6.1,TransakAuto,Agence CAMBRAI,1
Dormelles,77130,816,7.4,TransakAuto,Agence FONTAINEBLEAU,1
Virandeville,50690,816,10.8,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
Montgaillard,65200,816,11.5,TransakAuto,Agence TARBES,1
Grazac,31190,816,13.2,TransakAuto,Agence EAUNES,1
Montbrehain,02110,816,14.2,TransakAuto,Agence SAINT-QUENTIN,2
Chambost-Allières,69870,816,15.3,TransakAuto,Agence VILLEFRANCHE SUR SAONE,1
Lampaul-Ploudalmézeau,29830,816,20.0,TransakAuto,Agence BREST,1
Vauchelles-les-Quesnoy,80132,815,5.0,TransakAuto,Agence ABBEVILLE,1
Bertangles,80260,815,5.2,TransakAuto,Agence AMIENS,2
Ville-Saint-Jacques,77130,815,5.2,TransakAuto,Agence FONTAINEBLEAU,1
Salles-Arbuissonnas-en-Beaujolais,69460,815,7.2,TransakAuto,Agence VILLEFRANCHE SUR SAONE,1
Merceuil,21190,815,7.7,Simplicicar,beaune,3
Machault,77133,815,9.2,TransakAuto,Agence FONTAINEBLEAU,1
Osthoffen,67990,815,12.8,AgenceAuto,strasbourg-nord,3
Aujargues,30250,815,14.5,TransakAuto,Agence LUNEL,4
Dompierre-sur-Helpe,59440,815,16.9,TransakAuto,Agence MAUBEUGE,1
Athée,21130,815,18.2,AgenceAuto,dole,1
Thiembronne,62560,815,19.9,Simplicicar,saint-omer,1
Le Boulay-Morin,27930,814,5.4,Simplicicar,evreux,2
Guéhenno,56420,814,9.8,TransakAuto,Agence PLOERMEL,1
Orist,40300,814,13.4,AgenceAuto,dax,3
Bligny-sur-Ouche,21360,814,17.9,Simplicicar,beaune,1
Berneuil-en-Bray,60390,813,7.9,Simplicicar,beauvais,2
Castels et Bézenac,24220,813,11.9,TransakAuto,Agence SARLAT,1
Pinterville,27400,813,17.2,TransakAuto,Agence ELBEUF,2
Rasteau,84110,813,17.2,TransakAuto,Agence ORANGE,1
Tréveneuc,22410,813,20.0,AgenceAuto,saint-brieuc,1
Sotteville-sous-le-Val,76410,812,5.4,TransakAuto,Agence ELBEUF,2
Cournon,56200,812,7.8,TransakAuto,Agence REDON,1
Saint-Clair-de-Halouze,61490,812,10.2,TransakAuto,Agence FLERS,1
Vaire,25220,812,10.9,TransakAuto,Agence BESANCON,2
Septmoncel les Molunes,39310,812,15.4,TransakAuto,Agence GEX,2
Flaujac-Poujols,46090,811,9.4,TransakAuto,Agence CAHORS,1
Menthonnex-sous-Clermont,74270,811,10.7,TransakAuto,Agence ANNECY,3
Pazayac,24120,811,16.3,TransakAuto,Agence BRIVE-LA-GAILLARDE,2
Vézelin-sur-Loire,42260,811,19.5,TransakAuto,Agence ROANNE,1
Charly-Oradour,57640,810,7.3,AgenceAuto,metz,2
Savenès,82600,810,9.0,TransakAuto,Agence FRONTON,1
Tramolé,38300,810,9.2,TransakAuto,Agence BOURGOIN-JAILLEU,1
Bellignies,59570,810,14.3,TransakAuto,Agence MAUBEUGE,2
Champeaux,77720,810,17.7,AgenceAuto,gretz-armainvilliers,3
Osenbach,68570,810,19.2,Simplicicar,colmar,1
Courcelles-lès-Gisors,60240,809,4.4,TransakAuto,Agence GISORS,2
Lullin,74470,809,7.6,TransakAuto,Agence THONON-LES-BAINS,1
Capian,33550,809,16.5,TransakAuto,Agence CADAUJAC,1
Grosville,50340,809,17.0,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
La Chapelle-Glain,44670,809,17.7,TransakAuto,Agence CHATEAUBRIANT,1
Maresches,59990,808,8.7,AgenceAuto,valenciennes,2
Badevel,25490,808,9.1,AgenceAuto,montbeliard,4
Urschenheim,68320,808,9.6,Simplicicar,colmar,1
Préchacq-les-Bains,40465,808,10.8,TransakAuto,Agence DAX,2
Guillerval,91690,808,10.8,TransakAuto,Agence ETAMPES,1
Le Mesnil-Réaume,76260,808,10.8,TransakAuto,"Agence MONS, BELGIQUE",1
Prunay-en-Yvelines,78660,808,10.8,TransakAuto,Agence RAMBOUILLET,1
Fresney-le-Puceux,14680,808,15.0,TransakAuto,Agence CAEN,1
Zellwiller,67140,808,15.4,AgenceAuto,selestat,2
Wallon-Cappel,59190,808,15.4,Simplicicar,saint-omer,1
Lanvaudan,56240,808,17.6,Simplicicar,lorient,2
Caugé,27180,807,8.7,TransakAuto,Agence EVREUX,2
Gressy,77410,807,10.0,TransakAuto,Agence CHELLES,5
Montpouillan,47200,807,13.6,TransakAuto,Agence LANGON,1
Gueberschwihr,68420,807,16.0,Simplicicar,colmar,1
Offwiller,67340,807,18.0,TransakAuto,Agence HAGUENAU,1
Saliès,81990,806,1.9,TransakAuto,Agence ALBI,1
Villette-lès-Dole,39100,806,4.3,AgenceAuto,dole,1
Saint-Servant,56120,806,8.6,TransakAuto,Agence PLOERMEL,1
Genneville,14600,806,9.7,TransakAuto,Agence DEAUVILLE,2
Saint-Martin-de-Bernegoue,79230,806,10.2,TransakAuto,Agence NIORT,2
Charmes-sur-l'Herbasse,26260,806,13.4,TransakAuto,Agence ROMANS SUR ISERE,1
Terrats,66300,806,15.0,TransakAuto,Agence PERPIGNAN NORD SAINT ESTEVE,2
Lachelle,60190,805,3.6,TransakAuto,Agence COMPIEGNE,2
Cierrey,27930,805,6.7,Simplicicar,evreux,3
Grussenheim,68320,805,8.5,Simplicicar,colmar,2
Lavoûte-sur-Loire,43800,805,8.6,Simplicicar,puy-en-velay,1
Saint-Martin-de-la-Brasque,84760,805,10.3,TransakAuto,Agence PERTUIS,2
Menville,31530,805,10.4,TransakAuto,Agence TOULOUSE OUEST,4
Lainville-en-Vexin,78440,805,10.5,AgenceAuto,epone,5
Cléty,62380,805,11.0,Simplicicar,saint-omer,1
Bonzac,33910,805,11.1,TransakAuto,Agence LIBOURNE,1
Étrépilly,77139,805,12.5,TransakAuto,Agence MEAUX,2
Ormoy-Villers,60800,805,13.9,TransakAuto,Agence DAMMARTIN EN GOELE,1
Sévignacq,64160,805,13.9,Simplicicar,pau,1
Tours-en-Vimeu,80210,805,15.2,TransakAuto,Agence ABBEVILLE,1
Barbaira,11800,805,16.9,Simplicicar,carcassonne,2
Kerlaz,29100,805,18.3,TransakAuto,Agence QUIMPER,1
Troisvilles,59980,805,18.8,TransakAuto,Agence CAMBRAI,1
Pont-en-Royans,38680,805,19.2,TransakAuto,Agence ROMANS SUR ISERE,1
Mésigny,74330,804,7.6,TransakAuto,Agence ANNECY,3
Saint-Pierre-Bois,67220,804,9.7,AgenceAuto,selestat,1
Neffes,05000,804,10.0,TransakAuto,Agence GAP,1
Waldwisse,57480,804,12.0,TransakAuto,"Agence BRUXELLES, BELGIQUE",1
Escurolles,03110,804,12.5,Simplicicar,vichy,1
Allerey-sur-Saône,71350,804,14.0,Simplicicar,beaune,3
Émerchicourt,59580,804,15.2,TransakAuto,Agence CAMBRAI,4
