ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Chalon-sur-Saône,71100,45102,3.4,TransakAuto,Agence CHALON-SUR-SAONE,2
Bagneux,92220,44572,5.4,Simplicicar,paris-15,12
Tarbes,65000,44399,2.9,TransakAuto,Agence TARBES,1
Saint-Brieuc,22000,44364,2.1,AgenceAuto,saint-brieuc,3
Istres,13118,44292,15.0,Simplicicar,salon,1
Salon-de-Provence,13300,44194,3.9,Simplicicar,salon,1
Puteaux,92800,44002,3.5,Simplicicar,paris-17eme,12
Caluire-et-Cuire,69300,43597,3.7,AgenceAuto,lyon-nord,9
Rezé,44400,43556,7.0,AgenceAuto,nantes-sud-est,2
Mantes-la-Jolie,78200,43526,1.3,TransakAuto,Agence MANTES-LA-JOLIE,5
Valenciennes,59300,43468,2.1,AgenceAuto,valenciennes,2
Anglet,64600,43271,2.0,TransakAuto,Agence ANGLET,4
Bagnolet,93170,43086,2.5,TransakAuto,Agence VINCENNES,11
Bron,69500,42982,2.4,AgenceAuto,lyon,9
Châlons-en-Champagne,51000,42971,2.7,AgenceAuto,chalons-en-champagne,1
Châteauroux,36000,42963,1.5,TransakAuto,Agence CHATEAUROUX,2
Arras,62000,42875,2.6,TransakAuto,Agence ARRAS,3
Thionville,57100,42658,3.7,TransakAuto,Agence THIONVILLE,2
Villenave-d'Ornon,33140,42545,4.3,TransakAuto,Agence CADAUJAC,6
Castres,81100,42505,10.7,TransakAuto,Agence CASTRES,1
Bourg-en-Bresse,01000,42372,3.2,TransakAuto,Agence BOURG-EN-BRESSE,2
Gagny,93220,42313,2.7,TransakAuto,Agence LE RAINCY,9
Le Cannet,06110,41938,1.1,TransakAuto,Agence CANNES,5
Garges-lès-Gonesse,95140,41791,6.7,TransakAuto,Agence ENGHIEN-LES-BAINS,9
Villepinte,93420,41470,7.5,TransakAuto,Agence LE RAINCY,7
Stains,93240,41388,5.6,TransakAuto,Agence ENGHIEN-LES-BAINS,9
Gap,05000,41293,4.3,TransakAuto,Agence GAP,1
Poissy,78300,40983,5.6,TransakAuto,Agence CHAMBOURCY,9
Colomiers,31770,40882,4.7,TransakAuto,Agence TOULOUSE OUEST,7
Wattrelos,59150,40847,7.8,TransakAuto,Agence TOURCOING,4
Draguignan,83300,40826,8.7,TransakAuto,Agence DRAGUIGNAN,1
Compiègne,60200,40761,5.0,Simplicicar,compiegne,2
Montélimar,26200,40595,7.0,TransakAuto,Agence MONTELIMAR,1
Douai,59500,40250,4.4,TransakAuto,Agence DOUAI,2
Marcq-en-Barœul,59700,40184,3.0,AgenceAuto,wasquehal,6
Neuilly-sur-Marne,93330,39800,3.7,TransakAuto,Agence LE RAINCY,10
Le Lamentin,97232,39400,9.8,AgenceAuto,martinique,1
Pontault-Combault,77340,39096,9.6,TransakAuto,Agence SAINT MAUR,9
Saint-Benoît,97437,38604,14.2,TransakAuto,"Agence SAINT-ANDRE, REUNION",1
La Ciotat,13600,38477,3.1,Simplicicar,la-ciotat,2
Joué-lès-Tours,37300,38423,4.4,TransakAuto,Agence TOURS SUD,3
Tremblay-en-France,93290,38348,9.8,TransakAuto,Agence LE RAINCY,7
Chartres,28000,38324,4.3,TransakAuto,Agence CHARTRES,1
Oullins-Pierre-Bénite,69310,38168,3.5,TransakAuto,Agence LYON OUEST,8
Thonon-les-Bains,74200,37928,9.1,TransakAuto,Agence THONON-LES-BAINS,1
Franconville,95130,37754,4.5,TransakAuto,Agence SARTROUVILLE,8
Saint-Martin-d'Hères,38400,37695,5.3,TransakAuto,Agence GRENOBLE OUEST,3
Annemasse,74100,37628,1.8,AgenceAuto,annemasse,6
Savigny-sur-Orge,91600,37601,2.4,AgenceAuto,athis-mons,10
Échirolles,38130,37491,4.6,TransakAuto,Agence GRENOBLE OUEST,2
Palaiseau,91120,37471,2.1,AgenceAuto,palaiseau,7
Romainville,93230,37152,4.1,TransakAuto,Agence VINCENNES,10
Saint-Raphaël,83530,37113,18.5,Simplicicar,cannes,2
Six-Fours-les-Plages,83140,37109,5.6,TransakAuto,Agence TOULON,1
Sainte-Marie,97438,37093,6.8,TransakAuto,"Agence SAINT-DENIS, REUNION",2
Conflans-Sainte-Honorine,78700,36958,1.4,TransakAuto,Agence CONFLANS-SAINTE-HONORINE,8
Vitrolles,13127,36758,3.0,Simplicicar,marignane,3
Châtillon,92320,36705,4.9,Simplicicar,paris-15,12
Meyzieu,69330,36687,7.5,Simplicicar,st-priest,9
Athis-Mons,91200,36613,2.0,AgenceAuto,athis-mons,10
